DEPARTURE_COUNTRY,DESTINATION_COUNTRY,seizure_count,total_quantity_kg,avg_quantity_kg,primary_drug,first_year,last_year
Portugal,Portugal,3,0.058,0.019,Non-specified cocaine-type,2012.0,2012.0
Portugal,Spain,15,1301.686,86.779,Non-specified cocaine-type,2011.0,2015.0
Portugal,Switzerland,3,0.565,0.188,Non-specified cocaine-type,2013.0,2016.0
Portugal,United Kingdom,1,6.75,6.75,Non-specified cocaine-type,2012.0,2012.0
Qatar,Spain,2,3.56,1.78,Non-specified cocaine-type,2014.0,2014.0
Romania,Romania,1,0.255,0.255,Non-specified cocaine-type,2015.0,2015.0
Romania,Spain,1,1.75,1.75,Non-specified cocaine-type,2012.0,2012.0
Romania,Turkey,1,25.625,25.625,Non-specified cocaine-type,2014.0,2014.0
Russian Federation,Russian Federation,54,111.39,2.063,Non-specified cocaine-type,2011.0,2015.0
Saint Lucia,Bulgaria,1,13.392,13.392,Non-specified cocaine-type,2013.0,2013.0
Saint Pierre and Miquelon,Bulgaria,3,0.003,0.001,Non-specified cocaine-type,2012.0,2012.0
